app_id,title,description
1,Social Proof to Drive Sales,Boost sales by using hit counter to show customers how popular your store is!
1,Easy to Configure,"Choose whether you want to track unique or all site visits. Add it to any page to count views of a specific product page, or another page!"
1,Make it Blend Perfectly,"Customize your hit counter with custom animations, fonts, backgrounds, borders and more!"
2,Make your products findable,Categorise to make your products easier to find (search for) and discover (stumble across)
2,Categories at mulitple levels,Publish categories and nested sub-categories for search engines to target your SEO
2,Unified category list,"Add a category list (with product count), breadcrumb and sub-category icons to your navigation"
3,Reach new customers,"Share traffic with other stores, and reach new customers interested in your products/services."
3,Save on your marketing spend,This free ad exchange is a cost-effective solution to acquire targeted traffic.
3,Increase your sales,"Use this powerful and efficient sales channel, to acquires new traffic, and increase sales for your store."
4,Quick & easy setup,"Very easy to understand and simple in installation, just a few moments away for taking an awesome reviews from customers."
4,Improve your store function,"Meta fields have four components: namespace, key, value, and description (optional)."
4,Add unlimited custom option,"The meta fields object allows you to store additional information for products, collections, customers, orders, blogs, pages and your shop."
6,Increase Chances for Sales ,Create more organic opportunities for your customers to see and buy from your store. 
6,Visualize Your Social Media,Effortlessly manage your social story with a simple calendar view. 
6,Engage with Your Data ,Draw essential insights into your store's profitability and monitor your gains and losses. 
7,Add Get a Quote (POA) button,Hide Add to Cart button and replace it with Get a Quote button so clients can send you inquiries.
7,Customisable quote form,Make it easier for your customers to ask for price with a custom quote form. Each product can have a unique form assigned.
7,Hide price & add phone details,Ensure there is no price visible. Add custom message below or above the Get a Quote button. Show customers your phone number.
8,Fast checkout for Add to Cart,Try Add to Cart Booster! Show added to cart items in a popup or send a visitor straight to checkout after click the Add to Cart button.
8,Buy Now & Add to Cart checkout,"Improve ""Add to Cart to checkout"" flow: add Buy Now button with one click direct checkout option in addition to the Add to Cart button."
8,Checkout with a popup cart,Replace your cart page with a popup cart when a visitor clicks on the cart icon or the Add to Cart button. Real checkout booster!
9,Instant Product Preview,Shopper will be able to view product details quickly with less clicks.
9,Increase Sales,"A customer can add more items to their cart from quick view popup, which turns to reduced shopping time & increase sales."
9,Improves Shopping Experience,Improves boring variant drop-downs into a visually appealing color or image swatches.
10,Quick and Easy Install,No coding skills or changes required! Customise the layout and format with ease.
10,Use Custom brand images,Display the brand image you want. No need for setting up lots of individual brand collection pages.
10,Bonus Brand Slider,Add a Brand Slider to your store to highlight your favourite brands to your shoppers!
