id,app_id,title,price
1,1,Free,Free
2,1,Starter,$4.99/month
3,1,Pro,$11.99/month
4,1,Business,$49.99/month
5,2,,$10/month
6,3,,Free
7,4,,$1.99/month
8,5,,$7.99/month
9,6,,Free
10,7,Full Access Plan,$9.99/month
11,8,,$15.95/month
12,9,,$5.99/month
13,10,,$5/month
14,11,Premium Plan,$8.99/month
15,12,,Free to install
16,13,,$9.90/month
17,14,Basic,Free
18,14,Premium,$12/month
19,14,Advanced,$29/month
20,15,Basic,$7.99/month
21,15,Professional,$10.99/month
22,15,Enterprise,$14.99/month
23,15,Ultimate,$15.99/month
24,16,Starter,$4.99/month
25,16,Standard,$19.90/month
26,16,Premium,$79.90/month
27,17,,$7/month
28,18,,Free to install
29,19,Free,Free
30,19,Pro,$7.99/month
31,19,Branded Pro,$9.99/month
32,20,Starter,$4.99/month
33,20,Pro,$11.99/month
34,20,Business,$49.99/month
35,20,Free,Free
36,21,,Free
37,22,,Free
38,23,,$15/month
39,24,,$299 one time charge
40,25,,$8/month
41,26,Free Starter,Free
42,26,Basic,$19.99/month
43,26,Advanced,$49.99/month
44,26,Professional,$59.99/month
45,27,,$3.99/month
46,28,,Free to install
47,29,Basic,$5/month
48,29,Advanced,$9/month
49,29,Premium,$19/month
50,29,Professional,$39/month
51,30,,Free
52,31,,Free
53,32,,$2/month
54,33,Free Plan,Free
55,33,Small Shops,$6.99/month
56,33,Medium Shops,$9.99/month
57,33,Large Shops,$19.99/month
58,34,,$9.99/month
59,35,,Free
60,36,,$10/month
61,37,,$5.95/month
62,38,,$6.25/month
63,39,Starter,$4.99/month
64,39,Pro,$11.99/month
65,39,Business,$49.99/month
66,39,FREE,Free
67,40,,$15/month
68,41,,$5.99/month
69,42,,$9/month
70,43,,$5/month
71,44,Basic,$5.99/month
72,44,Pro,$9.99/month
73,45,Free,Free
74,45,Starter,$4.99/month
75,45,Pro,$11.99/month
76,45,Business,$49.99/month
77,46,Basic,$9/month
78,46,Pro,$19/month
79,46,Business,$24/month
80,47,Free,Free
81,47,Micro,$9/month
82,47,Small,$19/month
83,47,Medium,$59/month
84,48,,$1.49/month
85,49,,$15/month
86,50,,$5.99/month
87,51,,$15/month
88,52,,$4/month
89,53,,Free
90,54,Instafeed Free,Free
91,54,Instafeed Pro,$3.99/month
92,55,Premium Plan,$4.99/month
93,56,Starter,$16/month
94,56,Advanced,$24/month
95,56,Pro 1000,$59/month
96,56,Pro Unlimited,$129/month
97,57,NO LIMITS plan,$6.92/month
98,58,,$7.99/month
99,59,Free,Free
100,59,Basic,$14.99/month
101,59,Professional,$19.99/month
102,59,Advanced,$39.99/month
103,60,Basic,$29.99/month
104,60,Professional,$34.99/month
105,60,Unlimited,$39.99/month
106,60,Plus,$59.99/month
107,61,,$3.49/month
108,62,,$47/month
109,63,Starter,$4.99/month
110,63,Pro,$11.99/month
111,63,Business,$49.99/month
112,63,Free,Free
113,64,Free,Free
114,64,Sprout,$9/month
115,64,Startup,$29/month
116,64,Traction,$59/month
117,65,ALL IN ONE,$3.95/month
118,66,,Free
119,67,,$15/month
120,68,Starter,Free
121,68,Basic,$14.99/month
122,68,Professional,$49.99/month
123,69,GROWTH,$249/month
124,69,PREMIUM,$499/month
125,69,ENTERPRISE,$999/month
126,70,,$5.99/month
127,71,,$6.25/month
128,72,,$5/month
129,73,Free,Free
130,73,Starter,$3.99/month
131,73,Pro,$10.99/month
132,73,Business,$49.99/month
133,74,,$7/month
134,75,,$5/month
135,76,,$5/month
136,77,,$2/month
137,78,,$5.99/month
138,79,,$5/month
139,80,Free,Free
140,80,Professional,$14/month
141,80,Plus,$20/month
142,81,,$5.99/month
143,82,Hobby,$29/month
144,82,Entrepreneur,$59/month
145,82,Growth,$99/month
146,83,Starter,$1.99/month
147,83,Unlimited,$4.99/month
148,84,,$10/month
149,85,,$34.95/month
150,86,,$5/month
151,87,,$10/month
152,88,Basic,$20/month
153,88,Standard,$25/month
154,88,Advanced,$40/month
155,89,,$15/month
156,90,,$26/month
157,91,Basic Plan,$20/month
158,91,Standard,$25/month
159,91,Advanced,$40/month
160,92,,$5/month
161,93,,$5/month
162,94,,$3.75/month
163,95,,$9.99/month
164,96,,$5/month
165,97,Shopify Basic,$14.99/month
166,97,Shopify,$19.99/month
167,97,Shopify Advanced,$29.99/month
168,97,Shopify Plus,$99.90/month
169,98,,$9.95/month
170,99,,$7.99/month
171,100,,$19.99/month
172,101,Basic Plan,$4.49/month
173,102,,$30/month
